run,num_csv_rows,num_episodes,success_rate,mean_exec_centerx_mean,std_exec_centerx_mean,mean_exec_centerx_cum,std_exec_centerx_cum,mean_completion_steps,std_completion_steps,mean_completion_time_sec,std_completion_time_sec,ratio_final_better_than_t15,ratio_any_intermediate_better_than_t15
alpha0,9824,10,1.0,0.017072928522247822,0.007594423477047788,1.0507500551640987,0.4441715750701689,61.4,6.102458520956943,2.1490000000000005,0.213586048233493,0.2263843648208469,0.762214983713355
alpha15,51904,50,1.0,0.0057898706290870905,0.003906466487137499,0.3984584064781666,0.296683315619017,64.88,8.737596923639817,2.2708,0.30581589232739353,0.343403205918619,0.8766954377311961
alpha50,57696,50,1.0,0.0027638953970745206,0.001682087267664547,0.20517988741397858,0.13140038185224717,72.12,8.710086107496297,2.5242,0.3048530137623704,0.480865224625624,0.8890737659456461
